positive_score,negative_score,polarity_score,average_sentence_length,percentage_of_complex_words,fog_index,complex_word_count,word_count,uncertainty_score,constraining_score,positive_word_proportion,negative_word_proportion,uncertainty_word_proportion,constraining_word_proportion
682,1736,-0.43589743571716405,5.725768177669607,0.3024133130718468,2.411272596296582,28458,94103,1302,930,0.007247377873181514,0.01844787094991658,0.013835903212437436,0.009882788008883883
632780,2040170,-0.526530612244701,10.045348246739362,11.284252577611017,8.531840329740152,16965050,1503427,556410,578230,0.42089173601378715,1.3570130109410035,0.3700944575293646,0.38460796566777106
114,247,-0.368421051611022,6.793203883495146,0.14236713693623798,2.7742284081725535,6973,48979,266,209,0.0023275281242981687,0.005042977602646032,0.005430898956695727,0.004267134894546642
444,1591,-0.5636363633593924,7.108781869688385,0.24349588404741032,2.9409111014943186,21386,87829,629,481,0.0050552778694964075,0.018114745699028795,0.007161643648453245,0.005476551025287775
754,2958,-0.5937499998400458,6.452776906181362,0.4202285436421104,2.749202179929389,34568,82260,1044,696,0.009166058837831267,0.03595915390226112,0.012691466083150985,0.008460977388767324
45360,159600,-0.5573770491776084,9.532838258755604,3.521177551138322,5.2216063239575705,1767360,501923,68880,43680,0.09037242764328393,0.3179770602263694,0.1372322049398015,0.08702530069353268
0,81,-0.9999999876543212,9.97752808988764,0.8209459459459459,4.319389614333434,729,888,18,18,0.0,0.09121621621621621,0.02027027027027027,0.02027027027027027
108,234,-0.3684210515543244,6.670768739012306,0.15568173650542658,2.7305801902070934,6498,41739,288,234,0.0025875080859627687,0.005606267519585999,0.006900021562567383,0.005606267519585999
406,1334,-0.5333333330268198,5.626060948993614,0.30666666666666664,2.3730910462641126,21344,69600,986,464,0.005833333333333334,0.019166666666666665,0.014166666666666666,0.006666666666666667
0,0,0.0,-0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0.0,-0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0.0,-0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0.0,-0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0.0,-0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0.0,-0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0.0,-0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0.0,-0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0.0,-0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0.0,-0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0.0,-0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0.0,-0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
96,624,-0.7333333323148148,8.47735368956743,0.2867090887261376,3.505625111317427,9552,33316,336,264,0.0028814983791571615,0.018729739464521552,0.010085244327050066,0.007924120542682194
17202,47940,-0.4718614718542283,7.674739417760052,0.49555407162689347,3.2681173957547784,394800,796684,13536,11562,0.021591998835171787,0.060174422983265634,0.016990425312922063,0.014512654954787594
598,874,-0.18749999987262228,5.931166733952362,0.5761154409012014,2.6029128699414255,16928,29383,966,414,0.0203519041622707,0.029745090698703333,0.032876152877514206,0.014089779804648947
4508,11431,-0.434343434316184,8.2044140830268,2.333931125771259,4.215338083519224,109319,46839,4347,3542,0.0962445825060313,0.2440487627831508,0.09280727598795875,0.07562074339759602
517,752,-0.18518518503925516,7.688973565134556,0.5357120733444837,3.289874255391616,17296,32286,940,470,0.01601313262714489,0.023291829275847116,0.029114786594808897,0.014557393297404448
17710,25795,-0.18584070796033006,0.8481577350617675,0.6390424319100086,0.5948800667887104,362670,567521,16555,10780,0.031205893702611887,0.045452062566847744,0.029170726722006764,0.018994891818981147
12,21,-0.2727272644628102,1.1002187120291615,0.016344922030304368,0.4466254536237864,370,22637,20,10,0.0005301055793612227,0.0009276847638821399,0.0008835092989353713,0.00044175464946768567
480,1260,-0.44827586181133566,2.4267162221250547,0.2252292834105119,1.0607782022142267,12500,55499,500,300,0.008648804482963656,0.0227031117677796,0.009009171336420476,0.0054055028018522855
7375,21240,-0.48453608245729385,2.1836839569616187,2.651090617599906,1.93390982982461,180245,67989,8850,5310,0.1084734295253644,0.31240347703304944,0.13016811543043727,0.07810086925826236
0,2,-0.99999950000025,18.3,0.2185792349726776,7.407431693989071,40,183,2,2,0.0,0.01092896174863388,0.01092896174863388,0.01092896174863388
565305,971165,-0.2641509433960545,4.13817170885757,30.155074396335287,13.717298442077144,14857375,492699,594295,434850,1.1473638062995866,1.971112180053136,1.2062029758534114,0.8825875433073743
730398,1345470,-0.29629629629615356,4.080788493464098,33.54467463207015,15.0501852502137,19624641,585030,749619,615072,1.2484795651505052,2.2998307779088254,1.2813342905492027,1.05135121275832
53157,124644,-0.40206185566784175,10.906029367582995,1.0156832294126408,4.768685038798255,1179841,1161623,39715,38493,0.04576097408539603,0.10730159440713553,0.0341892335120775,0.03313725709632127
142380,213570,-0.19999999999943813,9.956977824990041,23.090210172565545,13.218875199022234,3462885,149972,152550,111870,0.9493772170805217,1.4240658256207825,1.017189875443416,0.7459392419918385
265984,382352,-0.17948717948690265,8.737036156041865,22.884278732933122,12.648525955589996,6724408,293844,274296,182864,0.9051877867167613,1.3012074434053442,0.9334749050516601,0.6223166033677734
485810,984750,-0.33928571428548354,9.60823268047292,30.463632304633933,16.028745994042744,11462490,376268,498940,301990,1.2911276005400405,2.6171505416352177,1.326022941095177,0.8025928327681333
1204,2156,-0.28333333324900795,8.191995954431162,0.04844473404437738,3.296176275390216,28252,583180,1176,700,0.002064542679790116,0.003696971775438115,0.002016530059329881,0.0012003155115058815
216558,666018,-0.5092592592586822,0.862513509169784,0.8913898651497582,0.7015613497278169,4860297,5452493,181827,149139,0.03971724493731583,0.12214926273174491,0.03334749810774631,0.027352442268151467
230868,710028,-0.509259259258718,0.8892879918562289,0.847050494430789,0.6945353945148072,5190174,6127349,196020,158994,0.037678284687227705,0.11587849818902106,0.03199099643255183,0.025948252661958705
